Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Atlanta Hawks,43.55,11.46,4.8,39.91,0.28,13.06,13.34,10.34,10.75,15.29,15.68,2018-2019,REG,81
Brooklyn Nets,43.45,11.46,4.89,39.96,0.24,13.18,12.89,10.7,10.45,15.2,14.94,2018-2019,REG,82
Boston Celtics,36.19,14.82,10.9,38,0.09,14,13.49,11.64,10.85,16.06,15.63,2018-2019,REG,82
Charlotte Hornets,41.86,11.99,8.39,37.25,0.5,13.4,13.2,10.96,10.56,15.38,15.54,2018-2019,REG,82
Chicago Bulls,46.23,14.31,10.05,29.22,0.19,11.9,13.19,9.58,10.59,13.82,15.52,2018-2019,REG,82
Cleveland Cavaliers,40.56,15.78,10.45,33.04,0.17,12.94,13.21,10.78,10.63,14.66,15.75,2018-2019,REG,82
Dallas Mavericks,38.95,12.46,6.64,41.54,0.41,13.99,13.34,10.99,10.59,16.4,15.67,2018-2019,REG,81
Denver Nuggets,44.62,13.5,7.15,34.48,0.25,12.56,12.74,10.07,9.95,14.74,15.12,2018-2019,REG,81
Detroit Pistons,42.79,10.51,7.33,38.94,0.43,13.49,12.61,11.01,9.95,15.46,14.97,2018-2019,REG,81
Golden State Warriors,32.99,14.86,13.8,38.09,0.26,14.76,13.7,12.35,11.18,17.08,15.7,2018-2019,REG,82
Houston Rockets,38.48,7.12,2.53,51.74,0.14,15.11,12.53,12.31,9.67,17.39,15.02,2018-2019,REG,82
Indiana Pacers,43.81,11.84,15.23,28.95,0.17,12.44,13.34,10.25,10.81,14.43,15.42,2018-2019,REG,82
Los Angeles Clippers,45.64,15.08,9.94,29.11,0.23,11.95,12.66,10.03,10.11,13.65,14.81,2018-2019,REG,81
Los Angeles Lakers,47.38,10.44,8.03,33.99,0.16,12.19,12.92,9.26,10.47,14.79,14.95,2018-2019,REG,81
Memphis Grizzlies,41.71,14.57,9.52,33.97,0.23,12.81,13.34,10.34,10.87,14.83,15.37,2018-2019,REG,82
Miami Heat,42.68,14.1,6.46,36.48,0.28,12.8,13.55,10.21,11.48,14.93,15.18,2018-2019,REG,82
Milwaukee Bucks,43.76,9.01,5.33,41.76,0.15,13.41,14.34,10.26,12.34,16.28,15.87,2018-2019,REG,82
